repo,crate_name,source,tier,has_unstripped_twin,has_save_temps_now,last_build_date,rustc_version,notes
pastel,pastel,unhusk/realval/corpus_src (in-scope),B,True,False,2026-03-13 20:37:44 +0100,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=122
procs,procs,unhusk/realval/corpus_src (in-scope),B,True,False,2026-07-15 20:11:19 +0000,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=302
pueue,pueue,unhusk/realval/corpus_src (in-scope),C,False,False,2026-07-18 18:38:23 +0200,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=344
rage,rage,unhusk/realval/corpus_src (in-scope),B,True,False,2026-07-14 04:06:08 +0100,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=386
rathole,rathole,unhusk/realval/corpus_src (in-scope),C,False,False,2025-07-29 10:05:58 +1000,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=278
ripgrep,ripgrep,unhusk/realval/corpus_src (in-scope),B,True,False,2026-07-15 12:31:04 -0400,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=59
rustscan,rustscan,unhusk/realval/corpus_src (in-scope),B,True,False,2026-06-10 11:33:31 +0100,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=302
sd,sd,unhusk/realval/corpus_src (in-scope),B,True,False,2026-02-25 20:25:13 +0100,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=106
sniffnet,sniffnet,unhusk/realval/corpus_src (in-scope),A,False,True,2026-07-25 23:39:27 +0200,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=710
spotify-tui,spotify-tui,unhusk/realval/corpus_src (in-scope),C,False,False,2021-11-17 20:29:15 +0000,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=255
starship,starship,unhusk/realval/corpus_src (in-scope),B,True,False,2026-07-13 18:17:03 +0000,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=427
taplo,taplo,unhusk/realval/corpus_src (in-scope),B,True,False,2026-03-11 23:11:57 +0100,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=316
tealdeer,tealdeer,unhusk/realval/corpus_src (in-scope),B,True,False,2026-07-07 14:24:06 +0200,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=190
tokei,tokei,unhusk/realval/corpus_src (in-scope),B,True,False,2026-05-06 18:42:32 +0200,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=204
topgrade,topgrade,unhusk/realval/corpus_src (in-scope),C,False,False,2026-07-29 17:37:41 +0200,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=456
trippy,trippy,unhusk/realval/corpus_src (in-scope),B,True,False,2026-07-13 23:22:09 +0900,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=425
typos,typos,unhusk/realval/corpus_src (in-scope),B,True,False,2026-07-10 00:32:07 +0000,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=220
websocat,websocat,unhusk/realval/corpus_src (in-scope),C,False,False,2026-07-26 14:28:37 +0200,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=223
wormhole-rs,magic-wormhole,unhusk/realval/corpus_src (in-scope),C,False,False,2026-07-22 16:18:57 +0200,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=482
xh,xh,unhusk/realval/corpus_src (in-scope),B,True,False,2026-07-11 14:17:59 +0100,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=383
xsv,xsv,unhusk/realval/corpus_src (in-scope),B,True,False,2025-04-24 09:07:36 -0400,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=59
zellij,zellij,unhusk/realval/corpus_src (in-scope),C,False,False,2026-07-29 17:08:08 +0200,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=527
zoxide,zoxide,unhusk/realval/corpus_src (in-scope),B,True,False,2026-07-13 15:36:47 +0530,rustc 1.98.0-nightly (9e2abe0c6 2026-06-16),cargo_lock_pkgs=128
